Account Number,Category Name,Parent Category,Path
3002000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3003000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3004000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3005000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3005500,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3006000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3007000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3008000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3009000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3391000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3080000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3081000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3082000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3310000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3385000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3386000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3388000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3388100,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3389000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3390000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3392000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3381000,F&I Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > F&I Revenue
3030000,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
3031000,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
3032000,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
3032100,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
4001000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4002000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4003000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4004000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4004100,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4005000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4006000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4007000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4008000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4009000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4011000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4012000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4013000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4014000,Sublet Labor,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Sublet Labor
4015000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4015500,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4016000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4017000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4017800,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018500,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018600,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018700,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4019000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4020000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4021000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4022000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
