Account Name,Division,District,Cost,Account Period
Parts,Southeast,SE08,179246.95,1/1/2024
Parts,Southeast,SE07,960.67,2/1/2024
Parts,Southeast,SE07,86281.4,1/1/2024
Parts,MidWest,WE99,-771.37,2/1/2024
Parts,MidWest,CE02,5483.44,2/1/2024
Parts,Northeast,NE04,-11238.44,2/1/2024
OEM Parts,MidWest,CE06,1280.96,2/1/2024
Parts,MidWest,CE05,17456.2,2/1/2024
Parts,Southeast,SE04,-9373.71,2/1/2024
OEM Parts,Southeast,SE08,12435.33,1/1/2024
Parts,Northeast,NE06,30638.83,1/1/2024
Parts,MidWest,DA04,458.15,2/1/2024
Parts,Northeast,NE07,924.39,2/1/2024
OEM Parts,Northeast,NE01,67.31,1/1/2024
Parts,MidWest,CE99,-4371.86,2/1/2024
Parts,MidWest,CE03,69329.57,2/1/2024
Parts,MidWest,CE01,22389.55,1/1/2024
Parts,Southeast,SE04,10501.11,1/1/2024
Parts,Southeast,SE03,24414.42,1/1/2024
OEM Parts,Southeast,SE06,4531.65,1/1/2024
Parts,MidWest,CE04,65328.89,2/1/2024
OEM Parts,Northeast,NE01,0,2/1/2024
OEM Parts,Northeast,NE03,686.28,2/1/2024
Parts,MidWest,DA05,-984.58,2/1/2024
Parts,MidWest,WE02,7263.89,2/1/2024
Parts,Southeast,SE99,6205.03,1/1/2024
Parts,Northeast,NE07,9158.01,1/1/2024
OEM Parts,Northeast,NE06,22.91,1/1/2024
OEM Parts,Southeast,SE04,0,2/1/2024
Parts,MidWest,WE06,-3088.16,2/1/2024
Parts,MidWest,CE07,120998.07,1/1/2024
Parts,MidWest,WE04,-174.45,2/1/2024
Parts,MidWest,CE08,69580.72,1/1/2024
Parts,Southeast,SE06,13708.55,1/1/2024
Parts,MidWest,WE02,16883.55,1/1/2024
Parts,MidWest,DA04,1277.83,1/1/2024
Parts,Southeast,SE02,5067.33,2/1/2024
Parts,Southeast,SE01,37.63,1/1/2024
Parts,Southeast,SE05,16753.3,1/1/2024
Parts,MidWest,CE07,129559.49,2/1/2024
Parts,MidWest,CE02,64433.7,1/1/2024
Parts,Northeast,NE04,30550.61,1/1/2024
OEM Parts,Southeast,SE08,-399.74,2/1/2024
Parts,MidWest,CE06,86099.42,2/1/2024
Parts,MidWest,CE08,62548.31,2/1/2024
Parts,Southeast,SE05,-13157.49,2/1/2024
Parts,Southeast,SE99,-22215.94,2/1/2024
Parts,MidWest,WE99,1446.22,1/1/2024
Parts,MidWest,CE09,14972.23,1/1/2024
Parts,Northeast,NE03,-4793.69,2/1/2024
Parts,Southeast,SE06,59186.99,2/1/2024
Parts,Northeast,NE99,1731.97,1/1/2024
Parts,MidWest,WE06,9446.6,1/1/2024
Parts,Southeast,SE01,-47.11,2/1/2024
Parts,MidWest,WE05,10967.81,2/1/2024
Parts,Northeast,NE02,722.62,1/1/2024
Parts,Northeast,NE03,13809.18,1/1/2024
Parts,MidWest,WE04,102.73,1/1/2024
OEM Parts,MidWest,CE02,460.86,2/1/2024
Parts,Southeast,SE02,14694.64,1/1/2024
Parts,MidWest,CE05,14269.28,1/1/2024
Parts,Northeast,NE99,-3352.51,2/1/2024
Parts,Northeast,NE01,17633.45,1/1/2024
OEM Parts,Southeast,SE05,49.57,2/1/2024
Parts,MidWest,CE04,27174.71,1/1/2024
Parts,Northeast,NE02,-1804.34,2/1/2024
OEM Parts,Northeast,NE06,-22.91,2/1/2024
Parts,MidWest,WE05,146.17,1/1/2024
OEM Parts,Southeast,SE06,1721.6,2/1/2024
Parts,MidWest,CE06,43833.32,1/1/2024
Parts,Southeast,SE08,126464.15,2/1/2024
Parts,MidWest,DA05,0,1/1/2024
Parts,MidWest,CE09,10462.93,2/1/2024
OEM Parts,MidWest,WE99,8.69,1/1/2024
Parts,MidWest,CE01,38327.8,2/1/2024
Parts,MidWest,CE99,4096.71,1/1/2024
Parts,MidWest,CE03,90736.19,1/1/2024
Parts,Northeast,NE06,14050.72,2/1/2024
Parts,Southeast,SE03,10282.01,2/1/2024
OEM Parts,Southeast,SE04,175.68,1/1/2024
Parts,Northeast,NE01,7545.08,2/1/2024
