Sum of Revenue,Column Labels,,
Row Labels,1/1/2024,2/1/2024,Grand Total
MidWest,375270.89,298202.68,673473.57
CE01,35569.88,23185.48,58755.36
CE02,37926.64,23550.14,61476.78
CE03,20440.34,23039.92,43480.26
CE04,6886.38,4290.39,11176.77
CE05,18168.63,14403.55,32572.18
CE06,26316.24,24990.61,51306.85
CE07,175621.91,145994.35,321616.26
CE08,1301.51,1145.68,2447.19
CE09,25295.26,15081.39,40376.65
WE02,18657.44,13153.94,31811.38
WE04,0,0,0
WE05,1484.85,871.9,2356.75
WE06,7601.81,8495.33,16097.14
Northeast,93648.25,79934.29,173582.54
NE01,17430.8,15928.05,33358.85
NE03,12268.71,9224.5,21493.21
NE04,34439.38,30554.68,64994.06
NE06,17669.94,15127.24,32797.18
NE07,11839.42,9099.82,20939.24
Southeast,240936.83,167896.22,408833.05
SE01,1715,6211.17,7926.17
SE02,8635.04,8833.69,17468.73
SE03,22028.72,17368.65,39397.37
SE04,10026.65,13931.45,23958.1
SE05,2363.46,2333.69,4697.15
SE06,39938.09,28295.79,68233.88
SE07,74202.44,51740.02,125942.46
SE08,81498.58,39181.76,120680.34
SE99,528.85,0,528.85
Grand Total,709855.97,546033.19,1255889.16
